customer_id,name,email,phone,flight_id,notif_type,notification_sent_at
1,Allison Hill,donaldgarcia@example.net,+1-219-560-0133,DE8668,sms,2025-06-29 10:03:00
2,Meredith Barnes,zlawrence@example.org,001-626-254-2351x16155,DE5803,sms,2025-07-07 06:15:00
3,Kimberly Dudley,smiller@example.net,+1-659-931-0341x316,DE4673,sms,2025-07-04 23:02:00
4,Holly Wood,elizabethmiles@example.net,+1-219-528-3276x4835,DE1488,sms,2025-08-09 13:46:00
5,Renee Morales,clarksherri@example.net,837-767-2423x88496,DE7592,sms,2025-07-28 01:54:00
6,Zachary Hicks,camposmichelle@example.org,+1-326-691-6697x8480,DE9835,email,2025-07-19 12:19:00
7,Gina Carter,shawnmckay@example.net,282-781-4893x252,DE7592,email,2025-07-01 08:15:00
8,Brian Cox DVM,john39@example.org,671-882-2782,DE6794,sms,2025-07-02 04:37:00
9,Tanya Campos,jenniferross@example.net,+1-557-587-1331x5098,DE2052,email,2025-07-09 17:32:00
10,Michael Brown,whiteheadmichele@example.org,334.373.8299x73763,DE9317,sms,2025-07-03 06:29:00
11,Heather Jenkins,nuneztracey@example.org,4658133387,DE5563,email,2025-08-04 09:45:00
12,Joel Baxter,ramosmichelle@example.net,908-501-3267,DE3704,email,2025-07-31 22:20:00
13,Stephanie Martin,gallowayjoseph@example.com,268-272-3430x9805,DE2776,sms,2025-07-23 20:52:00
14,Kathryn Farrell,brianromero@example.org,291-336-1939,DE1320,sms,2025-07-24 15:35:00
15,Kevin Mills,james53@example.com,(524)675-1079x9118,DE9849,email,2025-07-04 15:13:00
16,Gregory Jones,mikemoore@example.net,001-449-680-8412x411,DE4155,email,2025-07-15 11:43:00
17,Daniel Cooper,william40@example.org,+1-264-300-5242x7868,DE8886,email,2025-07-10 05:58:00
18,Stephen Mckee,davenportbrandi@example.org,(420)545-0533x15869,DE5073,email,2025-07-02 06:54:00
19,Vanessa Cochran,vjohnson@example.com,(534)221-6073x37543,DE9689,email,2025-08-03 15:54:00
20,Jennifer Ramirez,rasmussenjoshua@example.net,768.750.1429x40196,DE2776,sms,2025-07-23 06:41:00
21,William Wilson,jonathanfletcher@example.org,783.856.1595x14846,DE5552,email,2025-07-22 23:19:00
22,Kristen Lee,lbyrd@example.net,001-746-980-4436,DE5022,sms,2025-08-08 01:58:00
23,Michael Dixon,donnacampbell@example.net,+1-395-913-4332x0037,DE7065,email,2025-07-20 16:27:00
24,Mark Lee,psnyder@example.org,+1-401-963-2870x8317,DE6355,email,2025-08-05 06:38:00
25,Victoria Larson,usalazar@example.net,(387)627-7434x87347,DE1771,email,2025-07-09 11:10:00
26,George Orozco,taylorjesse@example.net,(231)566-5876,DE3697,email,2025-07-01 22:23:00
27,Jean Carrillo,gateskathy@example.com,805.946.6889x3734,DE4733,email,2025-07-24 20:47:00
28,George Shelton,dramsey@example.org,+1-280-669-9016x272,DE7865,sms,2025-08-06 15:18:00
29,Daniel Murphy,aramirez@example.com,270-580-5310,DE2040,sms,2025-07-24 12:35:00
30,Alex Hernandez,thomaswilson@example.org,645.829.9124x190,DE8136,sms,2025-07-21 10:22:00
31,Miguel Jones,curtisbarton@example.net,+1-819-905-8651x850,DE4501,sms,2025-08-06 12:03:00
32,Tyler Reid,bzimmerman@example.org,001-684-998-7769x4531,DE5010,email,2025-08-05 22:41:00
33,John Bishop,frogers@example.com,(273)554-5494,DE4937,sms,2025-07-19 07:23:00
34,Nathan Freeman,hannahbrewer@example.com,701.843.6349x578,DE8359,email,2025-07-17 05:25:00
35,Krista Bell MD,john13@example.com,682-333-7498,DE2983,email,2025-07-21 04:00:00
36,Elizabeth Ward,alexis82@example.com,6089427109,DE2052,email,2025-07-12 00:13:00
37,Glen Sheppard,shelley71@example.org,(871)590-2294x1318,DE6143,sms,2025-07-22 00:09:00
38,Jamie Kerr,michelle64@example.net,+1-309-413-3412x328,DE3705,sms,2025-08-11 17:48:00
39,Jerry Wheeler,antonio44@example.net,413.349.3618x324,DE7572,sms,2025-07-28 18:48:00
40,Ricky Larson,scott74@example.net,(248)387-7190x6594,DE3900,sms,2025-07-26 04:07:00
41,Michael Valencia,keyemily@example.com,001-802-978-7429,DE4978,email,2025-07-10 14:44:00
42,Julie Ortiz,elizabeth25@example.com,001-874-268-0715x451,DE9808,sms,2025-08-12 02:31:00
43,Kimberly Gutierrez,aprildean@example.com,+1-570-434-8247x7109,DE1821,sms,2025-06-28 13:30:00
44,Adam Russell,victoriadurham@example.com,527-948-4677,DE6139,email,2025-07-25 12:52:00
45,Janet Weeks,michellehill@example.com,784-804-4997x27875,DE8260,sms,2025-07-06 06:07:00
46,Frank Lopez,ashleyhall@example.com,7573662702,DE5530,sms,2025-08-13 23:05:00
47,Jessica Fox,jsmith@example.com,+1-921-274-5961x5865,DE2824,sms,2025-08-04 02:56:00
48,Cynthia Cohen,wendy16@example.org,001-517-824-0050x45562,DE5803,email,2025-07-30 03:00:00
49,Rebecca Jackson,lynchpatrick@example.net,279.923.7474,DE7211,sms,2025-08-06 22:01:00
50,Megan Moore,llandry@example.com,+1-664-674-3671x3695,DE6023,email,2025-07-14 18:19:00
51,Ronald Foster,knightgina@example.net,6974439533,DE3697,email,2025-07-22 23:09:00
52,Stephanie Lucas,kristina09@example.com,001-621-445-6232x8588,DE6753,sms,2025-07-06 18:56:00
53,Roger Olson,julie51@example.com,623-368-5160,DE3615,email,2025-07-10 09:02:00
54,Michael Chambers,xcarson@example.org,+1-437-209-8593x17461,DE9565,email,2025-08-03 14:41:00
55,Elizabeth Vasquez,youngamanda@example.com,258.769.2617x964,DE7572,email,2025-07-06 00:23:00
